pre_treatment,post_treatment
1.4925203808886596,2.1703928122284095
1.0010708783181035,2.1412250355482585
1.9189403727240504,2.8471452929873022
1.4188668977075682,2.9909497045109585
1.3221544979321076,2.9426549081224866
1.6342686415887469,2.010912029183787
1.3061939848619935,2.4511662602660618
1.8104797994036455,2.5110236034212954
1.2161533833231064,2.5149864930909693
1.120882631720729,2.9381791695440977
1.5541216851778272,2.1086565752466466
1.7225991209912324,2.930343308699913
1.9450091516426167,2.8820266531664824
1.3330325801259584,2.1606124126225104
1.3694701472260193,2.614074135424968
1.7613718218784715,2.025110904633764
1.6055150070091875,2.51335893176673
1.7311089969409594,2.988284868016791
1.2121097877103764,2.4258279088396293
1.3277072233324527,2.861126189467592
