group1,group2
6.745071229516849,4.876943886924378
5.792603548243223,6.369032015851961
6.971532807151039,6.485928225209846
8.284544784612038,5.796584096167572
5.648769937914996,6.758071432500986
5.648794564576229,7.606076285221808
8.368819223261088,9.829278851815795
7.151152093729364,7.261866719247759
5.295788421097572,7.386325586084147
6.8138400653789475,6.888331126350749
5.304873460781307,4.121843177051438
5.301405369644614,6.960229186826175
6.362943407349051,7.09034531491154
3.1300796330133034,10.69486316872793
3.4126232512304506,6.711458552828316
5.1565687061385415,7.452321013500419
4.480753319498364,6.947932345442135
6.471370998892911,5.246982943570702
4.637963886718183,8.71423422177253
3.881544447997063,8.127899549030161
8.19847315338233,8.186547920564571
5.661335549270197,5.635918817807892
6.101292307031886,9.10419146640415
3.8628777206798146,4.8972234058115784
5.183425913212226,7.880285640700405
6.166383884564799,10.285683438714969
4.273509633866546,5.514195512303967
6.563547027518508,6.150553405595842
5.099041965121793,7.1494770476314615
5.562459375310085,6.244786518825701
5.097440081655905,4.674004853400801
8.778417276763406,7.102844462209041
5.979754162893099,5.406544429410843
4.41343360656615,7.710388645952772
7.233817368154783,5.620863648649295
4.168734525043467,9.324901607526309
6.313295392507133,5.825120061495644
3.0604948141803368,6.516907725691486
4.007720926652354,8.220275826054504
6.295291853803685,5.1537035253490675
7.107699869993116,7.341189901906194
6.257052421784956,8.960714131423643
5.826527576417639,4.588775148158159
5.548344456616067,7.276950787798456
3.782217014448859,7.389824191372635
4.920233687407937,8.172734307665966
5.309041843560319,5.144573933682877
7.585683339328374,5.019315080373586
6.515427434352692,7.782912348425347
3.3554397669558993,7.445477009849779
6.486125954092192,7.375739275518815
5.422376579375525,7.519672314245463
4.984616999541062,5.979962917632264
6.917514433261302,7.348380545741505
7.546499283743927,7.439608709948022
7.396920178674298,5.928472872960448
4.741173715166042,9.798661766717135
5.5361814362231785,7.710749381367681
6.496895147105346,5.2130447541960265
7.463317690683539,7.984830412950744
5.281238643232065,5.5379774946590175
5.721511535004274,8.180626905613678
4.340497538990958,8.737893368511106
4.205690063878993,5.7689765224724345
7.218788733591297,8.445064193866482
8.034360042856235,7.619171390404747
5.891984817629499,8.233090239991736
7.5052993468380365,9.845189473980922
6.542454037571451,6.631917825995695
5.032320368092313,5.869395753463765
6.5420934082626205,5.665728355561715
8.307054849698954,5.776284572551843
5.946260941335073,6.884347435878844
8.346965483721009,7.511727962224966
2.0703823438653837,7.415036198995028
7.232853756562836,8.240774873554036
6.130570602357257,7.0195028378168605
5.551488974301199,9.180301115735976
6.137641164803253,6.603014750143066
3.0186466280986606,11.080253749884427
5.670492168243732,7.938501021647509
6.53566885726762,5.714263665375576
8.216841067112274,5.393661252908331
5.222594672589529,7.723708622864778
4.787259595660219,6.664805822011224
5.247364434623195,8.071000741138137
7.373103176553111,7.709856436860317
6.493126664489527,6.890756631014691
5.205359694349442,5.729809422897393
6.769901149670034,4.727729162971203
6.14561632402206,6.330227571899468
7.452967485799334,8.284598191485209
4.946920359183972,7.321140616195306
5.508506780103348,5.131391831932018
5.411837770301764,7.259771388776773
3.804727577801822,7.577976069593255
6.444180415596864,5.674213845698301
6.391582908269834,7.230587658918292
6.0076701849636915,7.087313077669
5.64811929993728,5.2855445532540655
