Grade,Math,English,Korean
1,74.96714153011233,71.71004989077927,82.56988616645351
1,68.61735698828815,74.3981895980303,65.77834675822375
1,76.47688538100692,87.47293605123262,83.6960592010566
1,85.23029856408026,86.10370265433465,88.55637858804951
1,67.65846625276664,79.79098406035853,79.13434903223701
1,67.6586304305082,81.17327383308782,93.76795812558066
1,85.79212815507391,92.77664895788425,67.26210800896428
1,77.67434729152909,74.0842861116417,62.55345296688583
1,65.30525614065049,85.47097381170038,57.212797510957216
1,75.42560043585965,77.97807347566106,89.96044311489183
1,65.36582307187538,77.82318796772779,81.54365656354058
1,65.34270246429743,90.9877685198719,74.44415329089544
1,72.41962271566034,88.2541634898803,77.7996862631982
1,50.86719755342202,88.13509636000639,63.74510952701623
1,52.75082167486967,93.05478807154329,99.45751979616827
1,64.37712470759027,80.21003841632759,76.29221181975228
1,59.87168879665576,86.81952971294965,76.09394794604893
1,73.14247332595274,76.89733243406543,82.25766623898691
1,60.91975924478789,83.24166352488442,79.81009231736714
1,55.87696298664709,78.69856945632316,77.23884024279131
1,84.65648768921554,80.96995964992718,67.09525544554688
1,67.74223699513465,85.95157025436913,79.71468357135996
1,70.67528204687923,71.81779316766527,93.82024496475034
1,55.75251813786544,100.9238727568546,88.45420046154977
1,64.55617275474818,69.93982618500299,90.93186626639397
1,71.10922589709867,67.85811387212269,69.88784323568815
1,58.490064225776976,91.58110873500068,65.1039517974142
1,73.75698018345672,87.91662693962935,73.74213079900352
1,63.99361310081195,86.24119817052156,75.55724912288694
1,67.08306250206724,86.2834550926428,85.94191518470949
1,63.98293387770603,79.87753227153085,58.07535370285181
1,88.52278184508938,71.02745628514168,90.29550319460614
1,69.86502775262066,80.75804558193727,73.4199210142101
1,59.422890710440996,73.22838288487888,70.7311893005258
1,78.22544912103189,89.7511973341775,64.87895624739832
1,57.791563500289776,78.52942618497862,58.451433281342304
1,72.08863595004756,71.74502803207488,83.23170583961914
1,50.403298761202244,76.78614158347007,75.73317967188405
1,56.71813951101569,84.12931454275625,62.10039100258946
1,71.96861235869123,74.36275447196026,62.04921227936384
1,77.3846657999541,71.77779604433569,71.64215300709871
1,71.7136828118997,82.43687211491913,91.69021525289392
1,68.8435171761176,82.44966571108722,72.40408648636395
1,66.98896304410711,74.9305682462887,59.96857046881894
1,55.214780096325725,75.28961694381677,72.54256935914056
1,62.801557916052914,82.32049937357637,72.2727643025233
1,65.39361229040213,65.51915658502676,48.03113357058429
1,80.57122226218915,65.92536225623445,74.45705133482188
1,73.43618289568461,72.81555778747564,72.69065469791322
1,52.36959844637266,77.86552848288153,81.96206364813418
1,73.24083969394795,83.10907565598005,93.48956094945345
1,66.14917719583684,94.75356216949552,86.26565029547757
1,63.23077999694041,88.5765962320202,72.3111130944517
1,76.11676288840867,78.40061470036574,63.934740912583294
1,80.30999522495951,79.80983792097311,100.7335980324986
1,79.31280119116198,69.97470635362191,75.59218434014488
1,61.607824767773614,79.8148686400761,75.13929291912946
1,66.90787624148786,77.11341361079862,74.75874912889996
1,73.31263431403563,83.22718560338089,76.98084760767856
1,79.75545127122359,71.72769056447677,73.55639588076058
1,65.2082576215471,85.19346514241172,69.26337993119763
1,68.14341023336183,95.32738913002578,69.53141058759608
1,58.93665025993972,78.91239851543142,74.67246729784002
1,58.037933759193294,84.01711722098942,69.56575228866235
1,78.12525822394198,86.90143991711112,67.87154217322836
1,83.56240028570824,75.98779528114164,76.06430227691897
1,69.27989878419666,82.24092481810416,72.45022782579144
1,80.03532897892023,80.12592400781794,90.0399298858269
1,73.61636025047635,80.97676098548831,48.49030191606988
1,63.54880245394876,72.26990216144533,85.91506851922462
1,73.61395605508415,80.24510174258943,87.4608519249763
1,85.38036566465969,84.9799829124545,54.2660976759185
1,69.64173960890048,94.51143607795042,71.57312405919652
1,85.64643655814007,89.59270826085206,71.28559134004209
1,43.80254895910255,101.53182457511556,60.924883052821784
1,78.21902504375224,72.3265243711195,67.22183312409125
1,70.87047068238171,88.72320636720679,63.894241545341714
1,67.00992649534132,81.83342005738352,92.52270443423623
1,70.91760776535503,101.89802933217672,84.35678393147461
1,50.124310853991076,71.91701714644849,87.71555094994159
1,67.80328112162488,71.60278157819224,82.21672064043236
1,73.57112571511746,74.00607354555977,63.70948228782771
1,84.77894044741517,58.76104275690193,69.75479733720226
1,64.81729781726352,74.74244978319238,79.89374561227918
1,61.91506397106812,72.40867338446301,62.778721911080545
1,64.98242956415463,81.50393786476208,82.12998430172388
1,79.15402117702074,83.4175597577716,72.59674601841866
1,73.28751109659684,98.76170839215887,71.25179192450402
1,64.70239796232961,89.5042383818605,82.10959968203491
